condition,task_id,family,level,seed,success
C,662,viewpoint,2,0,0
C,620,viewpoint,4,0,0
C,620,viewpoint,4,0,0
C,620,viewpoint,4,0,0
C,620,viewpoint,4,0,0
C,620,viewpoint,4,0,0
C,622,viewpoint,4,0,0
C,622,viewpoint,4,0,0
C,622,viewpoint,4,0,0
C,622,viewpoint,4,0,0
C,622,viewpoint,4,0,0
C,628,viewpoint,4,0,0
C,628,viewpoint,4,0,0
C,628,viewpoint,4,0,0
C,628,viewpoint,4,0,0
C,628,viewpoint,4,0,0
C,633,viewpoint,4,0,0
C,633,viewpoint,4,0,0
C,633,viewpoint,4,0,0
C,633,viewpoint,4,0,0
C,633,viewpoint,4,0,0
C,639,viewpoint,4,0,0
C,639,viewpoint,4,0,0
C,639,viewpoint,4,0,0
C,639,viewpoint,4,0,0
C,639,viewpoint,4,0,0
C,644,viewpoint,4,0,0
C,644,viewpoint,4,0,0
C,644,viewpoint,4,0,0
C,644,viewpoint,4,0,0
C,644,viewpoint,4,0,0
C,646,viewpoint,4,0,0
C,646,viewpoint,4,0,0
C,646,viewpoint,4,0,0
C,646,viewpoint,4,0,0
C,646,viewpoint,4,0,0
C,647,viewpoint,4,0,0
C,647,viewpoint,4,0,0
C,647,viewpoint,4,0,0
C,647,viewpoint,4,0,0
C,647,viewpoint,4,0,0
C,649,viewpoint,4,0,0
C,649,viewpoint,4,0,0
C,649,viewpoint,4,0,0
C,649,viewpoint,4,0,0
C,649,viewpoint,4,0,0
C,791,viewpoint,4,0,0
C,791,viewpoint,4,0,0
C,791,viewpoint,4,0,0
C,791,viewpoint,4,0,0
C,791,viewpoint,4,0,0
C,805,viewpoint,4,0,0
C,805,viewpoint,4,0,0
C,805,viewpoint,4,0,0
C,805,viewpoint,4,0,0
C,805,viewpoint,4,0,0
C,807,viewpoint,4,0,0
C,807,viewpoint,4,0,0
C,807,viewpoint,4,0,0
C,807,viewpoint,4,0,0
C,807,viewpoint,4,0,0
C,2110,lighting,2,0,1
C,2110,lighting,2,0,0
C,2110,lighting,2,0,0
C,2110,lighting,2,0,0
C,2110,lighting,2,0,0
C,2111,lighting,2,0,1
C,2111,lighting,2,0,1
C,2111,lighting,2,0,1
C,2111,lighting,2,0,1
C,2111,lighting,2,0,0
C,2117,lighting,2,0,0
C,2117,lighting,2,0,0
C,2117,lighting,2,0,1
C,2117,lighting,2,0,0
C,2117,lighting,2,0,0
C,2118,lighting,2,0,0
C,2118,lighting,2,0,0
C,2118,lighting,2,0,0
C,2118,lighting,2,0,1
C,2118,lighting,2,0,1
C,2120,lighting,2,0,1
C,2120,lighting,2,0,1
C,2120,lighting,2,0,1
C,2120,lighting,2,0,0
C,2120,lighting,2,0,1
C,2121,lighting,2,0,0
C,2121,lighting,2,0,0
C,2121,lighting,2,0,0
C,2121,lighting,2,0,1
C,2121,lighting,2,0,0
C,2128,lighting,2,0,0
C,2128,lighting,2,0,0
C,2128,lighting,2,0,0
C,2128,lighting,2,0,0
C,2128,lighting,2,0,1
C,2131,lighting,2,0,1
C,2131,lighting,2,0,1
C,2131,lighting,2,0,1
C,2131,lighting,2,0,0
C,2131,lighting,2,0,0
C,2133,lighting,2,0,1
C,2133,lighting,2,0,1
C,2133,lighting,2,0,0
C,2133,lighting,2,0,0
C,2133,lighting,2,0,1
C,2138,lighting,2,0,0
C,2138,lighting,2,0,0
C,2138,lighting,2,0,0
C,2138,lighting,2,0,1
C,2138,lighting,2,0,0
C,2142,lighting,2,0,0
C,2142,lighting,2,0,1
C,2142,lighting,2,0,0
C,2142,lighting,2,0,0
C,2142,lighting,2,0,0
C,2147,lighting,2,0,1
C,2147,lighting,2,0,0
C,2147,lighting,2,0,0
C,2147,lighting,2,0,0
C,2147,lighting,2,0,0
C,2112,lighting,4,0,1
C,2112,lighting,4,0,0
C,2112,lighting,4,0,0
C,2112,lighting,4,0,0
C,2112,lighting,4,0,0
C,2119,lighting,4,0,1
C,2119,lighting,4,0,1
C,2119,lighting,4,0,1
C,2119,lighting,4,0,0
C,2119,lighting,4,0,1
C,2127,lighting,4,0,0
C,2127,lighting,4,0,0
C,2127,lighting,4,0,0
C,2127,lighting,4,0,0
C,2127,lighting,4,0,0
C,2129,lighting,4,0,0
C,2129,lighting,4,0,0
C,2129,lighting,4,0,0
C,2129,lighting,4,0,0
C,2129,lighting,4,0,0
C,2134,lighting,4,0,0
C,2134,lighting,4,0,0
C,2134,lighting,4,0,0
